,feature_60,feature_478,feature_1,feature_125,feature_349,feature_442,feature_421
0,0.6990999999999996,6.0266,3079.7700000000004,15.82,0.0237,0.9639,1.8087
1,-1.4173000000000002,4.8218,3001.36,15.73,0.0272,0.8427,1.4549
2,10.235499999999998,6.158899999999999,3042.78,15.689999999999998,0.0163,0.9192999999999999,1.988
3,9.851799999999997,5.0612,3018.64,15.770000000000001,0.03,0.7158,2.8063
4,1.0335999999999994,7.4828,3020.29,15.95,0.024299999999999995,1.1255,1.0932
5,3.6809000000000003,4.181300000000001,2964.69,15.75,0.0205,0.4782,0.7021
6,2.810900000000001,5.9339,2940.74,15.7,0.0245,0.656,2.6353999999999997
7,1.5036000000000005,3.5466000000000006,3043.08,15.61,0.0174,0.9319999999999999,1.9699
8,1.7059434265762685,9.1221,2932.61,15.95,0.0105,1.2771,2.2942999999999993
9,1.5745,3.3971,3031.78,15.870000000000001,0.020214475111672407,0.5317,1.3589
10,2.9281999999999995,4.7353,3028.08,16.01,0.0339,0.565,1.4902
11,5.499100000000002,5.268599999999999,3003.82,15.99,0.0172,0.9361,2.2458
12,-2.5027,6.8676,2990.57,15.71,0.0198,0.9174999999999999,2.5141999999999998
13,0.3400000000000003,7.0359,2986.5,15.95,0.0116,0.7316,0.9559000000000001
14,4.169100000000002,6.8146,3022.3984643061212,15.79,0.0225,0.8531999999999998,0.8172999999999999
15,-3.7400000000000015,2.7876000000000003,2913.4,15.71,0.0236,0.7032,1.653
16,5.296290737598978,6.156143005103512,3018.8,15.84,0.0148,0.7139,0.9921
17,1.948199999999999,9.1675,2942.41,15.73,0.0381,0.8222,2.7501
18,8.1455,3.4324,2848.46,16.07,0.0253,0.6144,0.5649
19,4.955499999999999,9.9444,3010.26,15.54,0.0184,0.9383,3.0235
20,9.1882,5.9269,3033.29,15.92,0.014,0.5593,2.7521
21,2.2855000000000008,10.1458,2941.23,15.66,0.0162,0.5836,2.126
22,0.6191000000000008,7.557099999999999,3043.22,15.79,0.0229,0.78,1.0582
23,-3.7508999999999992,3.369,3021.61,15.71,0.0209,0.6373,1.6263999999999998
24,4.9118,4.8707,3048.76,15.73,0.0154,0.7655,0.9130999999999999
25,0.11999999999999918,5.817,3002.751581264771,15.84,0.0241,0.9964999999999999,2.3232
26,1.8173000000000001,3.4949,2943.9,15.99,0.0445,0.7928,2.6912
27,2.792699999999998,3.9522,2965.41,15.870000000000001,0.0245,0.7233,1.1494
28,2.110899999999999,8.8016,3030.27,15.84,0.0177,0.6667,2.5678
29,-4.410900000000001,3.706,3035.89,15.75,0.0199,0.6641,0.8233000000000001
30,8.9136,7.1799,2943.58,15.73,0.0373,0.7584,1.9599
31,-2.0763999999999996,6.11,3006.39,15.95,0.0278,1.1255,0.5995
32,0.5518000000000003,6.0246,3007.75,15.75,0.0273,1.0541,1.6993
33,-0.9363999999999992,2.9235,2936.51,15.73,0.017,0.442,1.4106
34,5.2063999999999995,4.0558,3021.83,15.92,0.0207,0.9237999999999998,2.4229
35,1.2835999999999994,7.044743468406401,3033.29,15.97,0.0319,0.6987,1.9827
36,1.0027000000000004,7.1443,3003.5131690005524,15.7,0.0221,0.656,1.9321
37,-2.6564,2.3646,2951.06,15.74,0.0256,0.7534,1.5853
38,-0.06360000000000048,10.0705,2994.06,15.76,0.0253,0.8858999999999999,1.3856
39,3.9054999999999995,6.1617,2955.3,15.680000000000001,0.0164,0.6901,2.1897999999999995
40,2.031800000000001,4.358200000000001,2996.65,15.770000000000001,0.0227,0.5317,0.758
41,17.387299999999996,5.7628,2988.99,16.05,0.0316574083257564,1.0644,2.0262
42,-0.15449999999999908,4.319,3054.52,15.73,0.0241,0.6815,0.8953999999999999
43,-0.3309000000000009,3.2036,3032.0543852371,15.8,0.0169,0.7053,1.686
44,-5.718200000000001,6.747999999999999,2977.43,15.85,0.0144,0.5632,1.9768999999999999
45,3.649999999999999,6.0536,3017.87,15.98,0.0247,0.8716,0.8224999999999999
46,6.303762568284248,5.1949,2981.1639164622625,15.64,0.0151,0.7613,3.0263
47,-5.647300000000002,6.4204,3002.888589186683,15.85,0.0252,1.1525,0.9488999999999999
48,1.8608999999999993,2.582,3182.8699999999994,15.75,0.0197,0.9136,0.6982
49,-4.4927,4.579500000000001,3037.2,15.75,0.0141,0.684,1.8650000000000002
50,17.399999999999995,5.1848,3024.15,15.770000000000001,0.0256,0.9251,2.9276
51,1.6073000000000006,4.6249,3004.71,16.04,0.0232,0.7663,1.6524000000000003
52,0.8872999999999995,3.9097,2894.04,15.88,0.02455797703910183,0.9251,2.2843
53,-2.7136,6.014999999999999,2997.45,15.779999999999998,0.0211,0.5669,0.7504
54,5.3382000000000005,6.0748,2950.0,15.74,0.0162,0.7898,0.6393
55,1.6372999999999993,6.026,2997.15,15.75,0.0236,0.8807,1.0597
56,2.9690999999999983,3.4708,3058.6,15.96,0.0141,0.577,0.7677
57,-1.0990999999999995,6.1979,2940.26,15.63,0.0154,0.9588,0.5105
58,2.9517999999999995,4.885700000000001,3053.49,15.88,0.019400000000000004,0.8435,1.9332
59,-10.37,4.454400000000001,3035.75,15.88,0.023381932936369827,0.8384,0.587
60,1.3444999999999991,3.9991,3017.39,15.73,0.0208,1.0216,0.7364
61,1.1664,3.4878,2978.81,15.801662156830712,0.02299658219937003,0.7584,1.4452389972392574
62,0.1872999999999997,3.4793000000000003,2994.22,15.8,0.0248,0.6641,1.5628
63,0.4835999999999996,3.9691,3040.34,15.84,0.0185,0.9964999999999999,2.2048
64,4.0809,3.2357,3171.5399999999995,15.73,0.0208,0.7506,3.4596
65,18.3936,4.273200000000001,2884.74,16.03,0.0386,0.7015,2.1093999999999995
66,1.2809000000000006,4.392200000000001,3045.07,15.67,0.0208,0.9396,1.8251
67,0.5682000000000006,7.684,3085.57,15.88,0.0183,0.8435,1.8930999999999998
68,8.095500000000001,6.9474,2954.36,15.75,0.024082082126681535,0.7928,3.6139000000000006
69,-1.9700000000000006,2.8027,2908.47,15.75,0.0337,0.481,0.7325
70,-8.2255,5.2293,3031.9,15.81580893649526,0.0138,0.6302,1.4955
71,-0.7499999999999998,5.8268,3084.23,15.71,0.025,0.6641,1.7461
72,0.16270000000000023,3.2661999999999995,2914.04,15.75,0.0215,0.7611,2.0227
73,-1.9555,7.154799999999999,2993.48,15.870000000000001,0.0201,0.7477,2.6144
74,-1.3018,5.6613999999999995,2990.46,15.51,0.028099999999999997,0.8470999999999999,2.0111
75,-0.01910000000000096,6.4234,3064.81,15.96,0.0149,0.6335,0.6356
76,-2.032700000000001,4.8172,3019.44,15.84,0.0229,0.4254,2.1069999999999998
77,3.098199999999999,4.8741,3058.91,15.82,0.0192,0.7337,0.9782
78,-2.960900000000001,7.3252,2963.26,15.57,0.0134,0.8136,2.6641999999999997
79,3.5435999999999983,4.3696,3010.75,15.7,0.0199,0.6927,0.6798
80,1.5127,8.4684,2939.6,15.97,0.0239,1.0189,1.7616
